p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AL499604.1	2.37142728139459e-07	0.580577033932536	0.253	0.09	0.00460365178137131	CD4+ Tcm	AL499604.1
RPL18	2.89778639000522e-07	0.273257593616191	0.879	0.951	0.00562547271891714	CD4+ Tcm	RPL18
RPL6	3.18654517316397e-07	0.253235811021706	0.909	0.958	0.00618604014466321	CD4+ Tcm	RPL6
LDHB	4.12625049522146e-07	0.544224578563214	0.667	0.559	0.00801029008637342	CD4+ Tcm	LDHB
AP3M2	5.16807604655663e-07	0.40388810566694	0.253	0.095	0.0100327860291804	CD4+ Tcm	AP3M2
CD2	5.34318325429296e-07	0.452045907380063	0.687	0.377	0.0103727216515589	CD4+ Tcm	CD2
NR3C1	6.71757590433962e-07	0.838704652208024	0.556	0.388	0.0130408301030945	CD4+ Tcm	NR3C1
WDR74	7.02400153391055e-07	0.463370150383719	0.404	0.195	0.0136356941777805	CD4+ Tcm	WDR74
FYN	8.44797449836668e-07	0.491048546046252	0.626	0.37	0.0164000528936792	CD4+ Tcm	FYN
DUSP16	9.58927221370444e-07	0.548980150394997	0.263	0.105	0.0186156541484644	CD4+ Tcm	DUSP16
ITM2A	1.00399075675557e-06	0.53740768997913	0.495	0.261	0.0194904725608959	CD4+ Tcm	ITM2A
RPL18A	1.66469281308931e-06	0.271402138545445	0.879	0.968	0.0323166815805027	CD4+ Tcm	RPL18A
FXYD5	2.07334856067256e-06	0.603764345776876	0.687	0.612	0.0402499156083365	CD4+ Tcm	FXYD5
GPR171	2.13339901320781e-06	0.395636417432032	0.354	0.159	0.0414156750434033	CD4+ Tcm	GPR171
AC026979.2	2.98999889957659e-06	0.459703149496781	0.283	0.119	0.0580448486374804	CD4+ Tcm	AC026979.2
HLA-E	3.0621050185352e-06	0.314321015530992	0.909	0.853	0.0594446447248239	CD4+ Tcm	HLA-E
RGS1	3.13686125080399e-06	0.401397827525379	0.808	0.613	0.0608958874618578	CD4+ Tcm	RGS1
NSD3	3.19391497412062e-06	0.586952941345308	0.525	0.334	0.0620034713926035	CD4+ Tcm	NSD3
LCK	4.12389587390802e-06	0.415902406605191	0.343	0.156	0.0800571906001764	CD4+ Tcm	LCK
RPS6	4.34005122996653e-06	0.269906185466783	0.899	0.979	0.0842534145273402	CD4+ Tcm	RPS6
FAM107B	6.32176234110984e-06	0.603633277372141	0.465	0.296	0.122724372327965	CD4+ Tcm	FAM107B
EZR	7.49580773523242e-06	0.52802112894737	0.697	0.54	0.145516115564067	CD4+ Tcm	EZR
LIME1	9.30929543701228e-06	0.339229548524226	0.343	0.16	0.180721352318719	CD4+ Tcm	LIME1
SKAP1	1.11501163456321e-05	0.508218661703838	0.303	0.141	0.216457208617757	CD4+ Tcm	SKAP1
GLIPR1	1.15943480435211e-05	0.472879819533738	0.606	0.428	0.225081078568875	CD4+ Tcm	GLIPR1
RPS15A	1.19701591680719e-05	0.255911352980072	0.879	0.977	0.23237669992978	CD4+ Tcm	RPS15A
RPS27	1.58479825619359e-05	0.252650035861475	0.97	0.989	0.307656885474862	CD4+ Tcm	RPS27
CORO1A	1.61873494962434e-05	0.464451609935284	0.606	0.41	0.314245015770574	CD4+ Tcm	CORO1A
LIMD2	1.83486111896681e-05	0.504548243452203	0.354	0.19	0.356201589025027	CD4+ Tcm	LIMD2
RPS21	1.87927920089593e-05	0.255464325747619	0.869	0.945	0.364824471269927	CD4+ Tcm	RPS21
SRGN	1.90136050980916e-05	0.352920210378748	0.929	0.873	0.369111115769252	CD4+ Tcm	SRGN
ODF2L	2.40112945012387e-05	0.33535446554366	0.515	0.308	0.466131260152548	CD4+ Tcm	ODF2L
CNOT6L	2.52844856483224e-05	0.344604681865574	0.566	0.354	0.490847719890882	CD4+ Tcm	CNOT6L
OCIAD2	2.94425154865019e-05	0.354338331302177	0.354	0.187	0.571567553139462	CD4+ Tcm	OCIAD2
RSRP1	3.66951387849581e-05	0.43582092998131	0.818	0.713	0.712362729232392	CD4+ Tcm	RSRP1
CD247	3.79091169388704e-05	0.344927875186079	0.263	0.114	0.735929687134292	CD4+ Tcm	CD247
PTPRC	5.22581137664956e-05	0.353467643826982	0.737	0.544	1	CD4+ Tcm	PTPRC
AC092338.3	7.68771459094459e-05	0.447162623895494	0.434	0.26	1	CD4+ Tcm	AC092338.3
CD69	9.09760643669896e-05	0.585581516861071	0.434	0.266	1	CD4+ Tcm	CD69
JUNB	0.000106311197196002	0.303575747843234	0.879	0.813	1	CD4+ Tcm	JUNB
SEPTIN6	0.000111482856093841	0.539288371752402	0.465	0.319	1	CD4+ Tcm	SEPTIN6
NDFIP1	0.000113871150809535	0.485609177566326	0.515	0.388	1	CD4+ Tcm	NDFIP1
SNHG5	0.000127516932952655	0.301534335410507	0.747	0.726	1	CD4+ Tcm	SNHG5
CD55	0.000131241024426847	0.531167012161291	0.545	0.422	1	CD4+ Tcm	CD55
HNRNPA1	0.000133700542929128	0.285814547703222	0.859	0.821	1	CD4+ Tcm	HNRNPA1
ANKRD12	0.000145488651867528	0.436102727882811	0.586	0.461	1	CD4+ Tcm	ANKRD12
KLF3	0.000148522238633172	0.369036278506181	0.354	0.211	1	CD4+ Tcm	KLF3
SIAH2	0.000154887259826159	0.551485409535781	0.424	0.274	1	CD4+ Tcm	SIAH2
AAK1	0.000157951558254122	0.327378578623	0.525	0.347	1	CD4+ Tcm	AAK1
ARHGEF1	0.000160682856034096	0.316664461735393	0.333	0.182	1	CD4+ Tcm	ARHGEF1
PPP2R5C	0.000182803082145322	0.314635243470492	0.616	0.417	1	CD4+ Tcm	PPP2R5C
CELF2	0.000188884535539606	0.648558316447364	0.566	0.447	1	CD4+ Tcm	CELF2
MRPL1	0.000238822944198921	0.429064407964634	0.293	0.159	1	CD4+ Tcm	MRPL1
RHBDD2	0.000274581120571906	0.572062585712078	0.333	0.204	1	CD4+ Tcm	RHBDD2
HSPA8	0.000275344706163282	0.397505245349437	0.859	0.839	1	CD4+ Tcm	HSPA8
HLA-B	0.000303465674560842	0.287406833596603	0.939	0.964	1	CD4+ Tcm	HLA-B
SYNE2	0.00033613841920087	0.384898361583401	0.303	0.165	1	CD4+ Tcm	SYNE2
STK17A	0.000359529935853106	0.351020210641205	0.455	0.286	1	CD4+ Tcm	STK17A
CREM	0.000371796811233345	0.362446486564354	0.778	0.732	1	CD4+ Tcm	CREM
CCDC167	0.000375230844339072	0.402787822129427	0.263	0.142	1	CD4+ Tcm	CCDC167
SMAP2	0.000380694469430147	0.407861449305404	0.475	0.332	1	CD4+ Tcm	SMAP2
B2M	0.000447397898334467	0.291891456814031	1	0.997	1	CD4+ Tcm	B2M
RCAN3	0.000495045640827803	0.373751296993069	0.333	0.192	1	CD4+ Tcm	RCAN3
MALAT1	0.00053128816432301	0.358013565399895	1	0.989	1	CD4+ Tcm	MALAT1
MAF	0.000578094164212843	0.484050207484702	0.303	0.175	1	CD4+ Tcm	MAF
SRSF2	0.000591729486148318	0.30044576900072	0.788	0.702	1	CD4+ Tcm	SRSF2
IL32	0.000606546089635464	0.340908522738095	0.586	0.415	1	CD4+ Tcm	IL32
RNF19A	0.000663117416124869	0.340133150947773	0.354	0.217	1	CD4+ Tcm	RNF19A
SRSF7	0.000694056579474394	0.272612874349717	0.788	0.675	1	CD4+ Tcm	SRSF7
GTF2B	0.000706976096923374	0.476109177470511	0.374	0.25	1	CD4+ Tcm	GTF2B
EVI2A	0.000740396491700145	0.521478771975428	0.424	0.296	1	CD4+ Tcm	EVI2A
ARID4B	0.000785151062974602	0.463464435527765	0.525	0.394	1	CD4+ Tcm	ARID4B
DANCR	0.00097374596341251	0.555701698166763	0.323	0.2	1	CD4+ Tcm	DANCR
SAMSN1	0.000982287858772776	0.315708369488253	0.717	0.555	1	CD4+ Tcm	SAMSN1
TSPYL2	0.00123729928327222	0.548790568983831	0.313	0.197	1	CD4+ Tcm	TSPYL2
STAT3	0.00128529060349012	0.461919574977602	0.495	0.37	1	CD4+ Tcm	STAT3
CD53	0.00140534040440199	0.345045494588979	0.616	0.486	1	CD4+ Tcm	CD53
BTN3A2	0.00149623353301271	0.348828465175257	0.303	0.182	1	CD4+ Tcm	BTN3A2
BAZ1A	0.00166466625557899	0.434943177075757	0.515	0.388	1	CD4+ Tcm	BAZ1A
NOP53	0.00168951365062291	0.259415538380165	0.768	0.769	1	CD4+ Tcm	NOP53
APBB1IP	0.00178618081345329	0.283760285908197	0.283	0.168	1	CD4+ Tcm	APBB1IP
EML4	0.00178952998838125	0.334046401573641	0.485	0.344	1	CD4+ Tcm	EML4
ISCA1	0.00180670924071474	0.337902073813247	0.364	0.236	1	CD4+ Tcm	ISCA1
ACAP1	0.00193511069688849	0.384259580345515	0.455	0.301	1	CD4+ Tcm	ACAP1
ARID5A	0.00223957567871371	0.32717604580684	0.404	0.276	1	CD4+ Tcm	ARID5A
HLA-C	0.00248818948358435	0.256851984060879	0.909	0.907	1	CD4+ Tcm	HLA-C
SNHG25	0.00251167228483116	0.391336221518639	0.273	0.171	1	CD4+ Tcm	SNHG25
EVI2B	0.00301285933975707	0.293198770548645	0.485	0.364	1	CD4+ Tcm	EVI2B
SMC4	0.00308347579237566	0.482177597301806	0.283	0.179	1	CD4+ Tcm	SMC4
ATXN7	0.00310291262623592	0.38767094616653	0.293	0.183	1	CD4+ Tcm	ATXN7
HLA-F	0.00320436267169356	0.536013075278241	0.525	0.428	1	CD4+ Tcm	HLA-F
ZNF331	0.00329393517851713	0.290534082646169	0.626	0.51	1	CD4+ Tcm	ZNF331
FUS	0.00340599103367746	0.598290637311491	0.717	0.676	1	CD4+ Tcm	FUS
ANKRD44	0.00380666670118577	0.355650066959119	0.283	0.178	1	CD4+ Tcm	ANKRD44
CD37	0.0039065481282986	0.252278755528763	0.667	0.527	1	CD4+ Tcm	CD37
PCSK7	0.00393305471040845	0.639565562714192	0.343	0.236	1	CD4+ Tcm	PCSK7
SNX9	0.00421095506791905	0.491073456742612	0.323	0.229	1	CD4+ Tcm	SNX9
PNISR	0.00428805927473773	0.477738371462992	0.646	0.563	1	CD4+ Tcm	PNISR
FAM118A	0.00519935958243276	0.348477480993021	0.576	0.451	1	CD4+ Tcm	FAM118A
IL10RA	0.00575898655199352	0.292612399368041	0.313	0.2	1	CD4+ Tcm	IL10RA
PLK3	0.00597127012300825	0.351104688951174	0.434	0.315	1	CD4+ Tcm	PLK3
CNIH1	0.00626586297902514	0.419440178792031	0.343	0.26	1	CD4+ Tcm	CNIH1
C12orf57	0.00640133930395592	0.296550803960134	0.525	0.435	1	CD4+ Tcm	C12orf57
MZT2A	0.00652426489956036	0.374646052534952	0.455	0.361	1	CD4+ Tcm	MZT2A
SNHG6	0.00692749498937085	0.257143337752309	0.677	0.635	1	CD4+ Tcm	SNHG6
HBP1	0.00749572259970328	0.288888130190254	0.313	0.214	1	CD4+ Tcm	HBP1
TSPAN14	0.00826365735720743	0.273991974640894	0.253	0.164	1	CD4+ Tcm	TSPAN14
LBH	0.00854765872760146	0.395681465120248	0.313	0.207	1	CD4+ Tcm	LBH
STAT4	0.00876765414399225	0.349076739155564	0.273	0.163	1	CD4+ Tcm	STAT4
ETS1	0.00959112305362335	0.252173042990953	0.323	0.209	1	CD4+ Tcm	ETS1
KLRB11	7.73927639757344e-15	1.36326658178753	0.589	0.197	1.50242572706093e-10	CD4+ Tem	KLRB1
CD3E1	4.14374001683165e-12	0.850376523479619	0.714	0.314	8.04424249467527e-08	CD4+ Tem	CD3E
IL7R1	3.56324546434339e-10	0.92127846059666	0.786	0.463	6.91732841992982e-06	CD4+ Tem	IL7R
LTB1	4.05047612779548e-10	1.04892658978737	0.571	0.246	7.86318930688937e-06	CD4+ Tem	LTB
GPR1711	7.38524276268701e-10	0.839373701583291	0.464	0.161	1.43369717752043e-05	CD4+ Tem	GPR171
GZMA	5.08429546454305e-09	0.713752679488163	0.589	0.241	9.87014278531743e-05	CD4+ Tem	GZMA
GIMAP71	7.98759986834237e-09	0.783685824381306	0.393	0.134	0.00015506327624413	CD4+ Tem	GIMAP7
ZFP36L2	1.29027223448352e-08	0.508192666838329	0.982	0.756	0.000250480548880286	CD4+ Tem	ZFP36L2
TRAC1	1.48913699008761e-08	0.925870058137716	0.696	0.37	0.000289086163885708	CD4+ Tem	TRAC
TRAT11	2.44979629468833e-08	0.512617176200081	0.375	0.118	0.000475578954687846	CD4+ Tem	TRAT1
CD21	2.55371349622926e-08	0.838852160775752	0.696	0.386	0.000495752401022987	CD4+ Tem	CD2
CD3D1	4.84858811903314e-08	0.582822773956715	0.732	0.384	0.000941256411547904	CD4+ Tem	CD3D
CCR61	1.22229486515362e-07	0.618554077719646	0.357	0.125	0.00237284102172272	CD4+ Tem	CCR6
RPS271	2.49311030275467e-07	0.333515496290626	0.982	0.988	0.00483987503073764	CD4+ Tem	RPS27
CXCR6	3.27634259941129e-07	0.380118369272758	0.446	0.166	0.00636036388823714	CD4+ Tem	CXCR6
TRBC11	4.83258506751962e-07	0.491698050644626	0.5	0.2	0.00938149739157583	CD4+ Tem	TRBC1
RPL28	1.75909658798695e-06	0.303989507135108	1	0.973	0.0341493420625907	CD4+ Tem	RPL28
B2M1	3.00591189173401e-06	0.356113631485229	1	0.997	0.0583537675542323	CD4+ Tem	B2M
RPS27A	8.0564573274001e-06	0.288888410786537	0.964	0.974	0.156400006096818	CD4+ Tem	RPS27A
ITK	9.6628143379789e-06	0.634983474097588	0.268	0.092	0.187584214743184	CD4+ Tem	ITK
FYB11	1.57332341932165e-05	0.618590419490461	0.625	0.424	0.305429275392911	CD4+ Tem	FYB1
SPOCK21	1.7298873997145e-05	0.534036079372043	0.5	0.248	0.335823040906577	CD4+ Tem	SPOCK2
AAK11	1.85894127404133e-05	0.843698306606876	0.536	0.352	0.360876269529643	CD4+ Tem	AAK1
GLIPR11	2.17438017607986e-05	0.593846644395243	0.643	0.432	0.422112423582382	CD4+ Tem	GLIPR1
ACAP11	2.28806264162671e-05	0.631653757132848	0.536	0.302	0.444181600618994	CD4+ Tem	ACAP1
RPL131	2.67277257642084e-05	0.275196927350165	0.946	0.982	0.518865340260577	CD4+ Tem	RPL13
RPS291	3.93220832129635e-05	0.253145639664651	0.946	0.971	0.763359601413261	CD4+ Tem	RPS29
IL321	3.97338481613867e-05	0.598716526846985	0.661	0.418	0.771353194357001	CD4+ Tem	IL32
RPS19	4.16184927825428e-05	0.303601222069434	0.982	0.972	0.807939800387504	CD4+ Tem	RPS19
CXCR41	4.85954256469752e-05	0.516792387215283	0.893	0.733	0.943382998084729	CD4+ Tem	CXCR4
LINC-PINT1	6.59925412124545e-05	0.591513056172885	0.768	0.628	1	CD4+ Tem	LINC-PINT
PTPRC1	8.59330581549686e-05	0.396526772765224	0.75	0.55	1	CD4+ Tem	PTPRC
RPS211	0.00011779745324261	0.321799768719545	0.946	0.94	1	CD4+ Tem	RPS21
HLA-E1	0.000139021297179287	0.425608924170976	0.875	0.856	1	CD4+ Tem	HLA-E
PARP8	0.000147101776947787	0.482482597325226	0.375	0.18	1	CD4+ Tem	PARP8
CD52	0.000175871283782657	0.494049010638197	0.768	0.623	1	CD4+ Tem	CD52
CD531	0.000237410045027437	0.60624438516481	0.625	0.489	1	CD4+ Tem	CD53
EVL1	0.00024346525607716	0.49323122620999	0.571	0.386	1	CD4+ Tem	EVL
CD6	0.000336191994067555	0.548426917925408	0.268	0.114	1	CD4+ Tem	CD6
CD2471	0.000342891986957721	0.321191794846134	0.286	0.118	1	CD4+ Tem	CD247
RPLP1	0.000356938976700076	0.259767791096535	0.982	0.986	1	CD4+ Tem	RPLP1
RORA1	0.000750542194463798	0.769218742752808	0.464	0.286	1	CD4+ Tem	RORA
ITM2A1	0.000803681141991241	0.447331349677453	0.446	0.27	1	CD4+ Tem	ITM2A
CD96	0.00081080547260134	0.421362982339415	0.357	0.179	1	CD4+ Tem	CD96
ARID5B1	0.000870393975019943	0.59111455030715	0.5	0.331	1	CD4+ Tem	ARID5B
SARAF1	0.000914243992020833	0.378394254975055	0.821	0.82	1	CD4+ Tem	SARAF
IKZF11	0.000979785478762589	0.293128810996938	0.446	0.254	1	CD4+ Tem	IKZF1
LCK1	0.00120407080356195	0.370584848996909	0.321	0.162	1	CD4+ Tem	LCK
HLA-B1	0.0013385717773814	0.256355000728323	1	0.961	1	CD4+ Tem	HLA-B
ODF2L1	0.00154563691865763	0.499521396531882	0.482	0.316	1	CD4+ Tem	ODF2L
AC058791.1	0.00162404066689265	0.506666810975033	0.429	0.262	1	CD4+ Tem	AC058791.1
MRPL11	0.00164969069535788	0.634111569633506	0.304	0.163	1	CD4+ Tem	MRPL1
ISG20	0.00186418861716134	0.37773073771362	0.607	0.42	1	CD4+ Tem	ISG20
RNF125	0.00187568911379893	0.397229583826094	0.393	0.217	1	CD4+ Tem	RNF125
SRSF5	0.00189088278252795	0.57938906094237	0.643	0.566	1	CD4+ Tem	SRSF5
POLR2J3	0.00225133108804009	0.514672448764245	0.589	0.512	1	CD4+ Tem	POLR2J3
PIK3IP11	0.00228657578141422	0.455557300776688	0.429	0.278	1	CD4+ Tem	PIK3IP1
STK41	0.00264494408946754	0.429539117716919	0.625	0.479	1	CD4+ Tem	STK4
MALAT11	0.00276841668146148	0.30938519819296	1	0.99	1	CD4+ Tem	MALAT1
RPLP0	0.00328514558154028	0.256598219344778	0.911	0.894	1	CD4+ Tem	RPLP0
PBXIP11	0.00378198632902265	0.288892786400665	0.339	0.193	1	CD4+ Tem	PBXIP1
AC114760.21	0.00416029966369358	0.685625195756833	0.446	0.321	1	CD4+ Tem	AC114760.2
CYTIP1	0.00470364764828483	0.436025343803765	0.571	0.422	1	CD4+ Tem	CYTIP
TRBC21	0.004708868727022	0.430117613096629	0.5	0.33	1	CD4+ Tem	TRBC2
RPL41	0.0048674534096569	0.256088108095061	0.857	0.883	1	CD4+ Tem	RPL4
SRGN1	0.00494687694074135	0.310624230081235	0.964	0.873	1	CD4+ Tem	SRGN
CORO1A1	0.00503063763770148	0.398748180660091	0.554	0.418	1	CD4+ Tem	CORO1A
CD481	0.00567672206241148	0.396395975142765	0.518	0.407	1	CD4+ Tem	CD48
HLA-A1	0.00742850484393838	0.362463837784864	0.946	0.957	1	CD4+ Tem	HLA-A
FYN1	0.00743588744393675	0.403222288241211	0.536	0.381	1	CD4+ Tem	FYN
BCL11B1	0.00777215822906364	0.399300202119801	0.393	0.249	1	CD4+ Tem	BCL11B
SRSF71	0.00958188445477405	0.250984307593228	0.786	0.678	1	CD4+ Tem	SRSF7
SIT1	4.16617018776897e-11	1.20543048889356	0.556	0.055	8.0877861855159e-07	CD8+ effector T cells	SIT1
NKG7	9.8501976431283e-11	1.31848392815881	1	0.182	1.9122188684605e-06	CD8+ effector T cells	NKG7
MATK	1.29526629137097e-10	1.17153335551888	0.667	0.083	2.51450045143846e-06	CD8+ effector T cells	MATK
CD8B	1.61829367076895e-10	1.19279083214043	0.778	0.108	3.14159350306376e-06	CD8+ effector T cells	CD8B
RASAL3	1.51017906156188e-08	1.18018864959899	0.556	0.074	0.000293171061221007	CD8+ effector T cells	RASAL3
SLC25A53	1.66472543789662e-08	0.778157580618768	0.333	0.026	0.00032317314925887	CD8+ effector T cells	SLC25A53
CD8A	1.74890509969723e-08	1.4955915772492	0.889	0.193	0.000339514947004223	CD8+ effector T cells	CD8A
PRF1	6.56295306987607e-08	1.31778692903354	0.556	0.079	0.00127406607945504	CD8+ effector T cells	PRF1
LINC02446	1.45663140142765e-07	1.01837883591852	0.556	0.077	0.00282775853959151	CD8+ effector T cells	LINC02446
CTSW	5.01654140095131e-07	1.35313473619785	0.889	0.25	0.00973861182166678	CD8+ effector T cells	CTSW
GZMA1	9.71255527642711e-07	1.36866242249399	0.889	0.25	0.0188549835581279	CD8+ effector T cells	GZMA
ABHD14A	1.19089283590615e-06	1.23539883639625	0.556	0.104	0.0231188026234462	CD8+ effector T cells	ABHD14A
CCL5	1.41490052336889e-06	1.59027602970745	1	0.377	0.0274674638601602	CD8+ effector T cells	CCL5
ZAP70	1.55476935051372e-06	0.762426053789962	0.444	0.06	0.0301827374015229	CD8+ effector T cells	ZAP70
NELL2	1.61775048816094e-06	0.703621315738286	0.333	0.034	0.0314053902266684	CD8+ effector T cells	NELL2
ACAP12	1.89532151129477e-06	1.25310869204253	0.889	0.307	0.0367938764987653	CD8+ effector T cells	ACAP1
ACAD8	3.60517413346266e-06	0.717259995802507	0.333	0.038	0.0699872454529105	CD8+ effector T cells	ACAD8
CCR5	4.00466278795446e-06	0.707997870941661	0.444	0.063	0.07774251870256	CD8+ effector T cells	CCR5
CD3D2	5.13364025283727e-06	1.12938116095167	1	0.394	0.09965935822833	CD8+ effector T cells	CD3D
GZMH	6.08830523003805e-06	1.38956026971528	0.667	0.16	0.118192269430729	CD8+ effector T cells	GZMH
